City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,maltahohe,-24.8333,16.9833,29.27,17,21,10.4,NA,1680963318
332,kailua,21.4022,-157.7394,22.86,82,100,0.89,US,1680963608
333,tuzha,57.6062,47.936,6.99,40,26,0.86,RU,1680963608
334,campo verde,-20.4167,-54.0667,24.53,79,98,0.62,BR,1680963609
335,watsa,3.0372,29.5355,31.8,35,53,3.05,CD,1680963609
336,borovichi,58.3878,33.9155,9.85,54,77,1.85,RU,1680963609
337,road town,18.4167,-64.6167,27.05,69,40,5.14,VG,1680963490
338,whitehorse,60.7161,-135.0538,-4.57,80,40,2.06,CA,1680963427
339,gospic,44.5461,15.3747,9.83,69,100,0.43,HR,1680963610
340,cherskiy,68.75,161.3,-28.35,100,69,0.88,RU,1680963415
341,miravci,41.3078,22.435,13.34,62,96,3.02,MK,1680963611
342,kavaratti,10.5669,72.642,28.29,70,8,2.25,IN,1680963611
343,nawa,27.0167,75.0,29.96,15,7,2.82,IN,1680963611
344,larap,14.299,122.6504,25.47,82,48,4.73,PH,1680963611
345,bambanglipuro,-7.95,110.2833,25.83,81,74,0.84,ID,1680963612
346,taoudenni,22.6783,-3.9836,31.67,11,100,2.1,ML,1680963612
347,ugoofaaru,5.6667,73.0,28.86,72,22,4.46,MV,1680963612
348,torit,4.4133,32.5678,32.9,34,88,1.7,SS,1680963612
349,kahului,20.8947,-156.47,23.25,79,0,6.69,US,1680963351
350,naze,28.3667,129.4833,14.12,57,1,8.36,JP,1680963329
351,ancud,-41.8697,-73.8203,10.71,69,74,1.6,CL,1680963513
352,vigrestad,58.5667,5.7,12.82,69,100,1.02,NO,1680963613
353,barmer,25.75,71.3833,32.67,11,85,2.72,IN,1680963614
354,bonavista,48.6499,-53.1147,-1.79,73,92,8.79,CA,1680963614
355,ventspils,57.3894,21.5606,8.96,61,0,7.2,LV,1680963614
356,llanes,43.4198,-4.7549,17.35,66,96,4.67,ES,1680963614
357,raga,8.4596,25.678,39.77,7,100,3.47,SS,1680963615
358,bafoulabe,13.8065,-10.8321,40.61,9,5,1.42,ML,1680963615
359,te anau,-45.4167,167.7167,7.23,93,83,0.87,NZ,1680963615
360,gondar,12.6,37.4667,24.62,28,93,3.23,ET,1680963615
361,bathsheba,13.2167,-59.5167,28.34,65,20,10.29,BB,1680963616
362,buritis,-15.6178,-46.4233,31.5,45,77,1.27,BR,1680963616
363,adrar,20.5022,-10.0711,32.38,14,100,3.08,MR,1680963617
